# block	plan	unit	build_time	liquid	liquid_rate	items (id:amount)
377	0	0	900.0	-1	0.0	9:10	1:10
377	1	10	600.0	-1	0.0	9:8	5:10
377	2	5	2400.0	-1	0.0	9:30	1:20	6:20
378	0	15	900.0	-1	0.0	9:15
378	1	20	2100.0	-1	0.0	9:30	1:15
379	0	25	2700.0	-1	0.0	9:20	2:35
379	1	30	2100.0	-1	0.0	9:15	6:20
380	-1	-1	600.0	-1	0.0	9:40	3:40
381	-1	-1	1800.0	-1	0.0	9:130	6:80	2:40
382	-1	-1	5400.0	3	1.0	9:850	6:750	10:650
383	-1	-1	14400.0	3	3.0	9:1000	10:600	12:500	11:350
386	0	38	2100.0	-1	0.0	16:40	9:50
387	0	49	2400.0	-1	0.0	3:50	9:70
388	0	43	2400.0	-1	0.0	16:50	9:70
389	-1	-1	1800.0	8	0.05	9:40	17:30
390	-1	-1	3000.0	8	0.05	9:60	17:40
391	-1	-1	2700.0	8	0.05	9:50	17:40
392	-1	-1	3600.0	9	0.16666667	7:80	9:100
