0	air
1	spawn
2	remove-wall
3	remove-ore
4	cliff
5	build1
6	build2
7	build3
8	build4
9	build5
10	build6
11	build7
12	build8
13	build9
14	build10
15	build11
16	build12
17	build13
18	build14
19	build15
20	build16
21	deep-water
22	shallow-water
23	tainted-water
24	deep-tainted-water
25	darksand-tainted-water
26	sand-water
27	darksand-water
28	tar
29	pooled-cryofluid
30	molten-slag
31	space
32	empty
33	stone
34	crater-stone
35	char
36	basalt
37	hotrock
38	magmarock
39	sand-floor
40	darksand
41	dirt
42	mud
43	dacite
44	rhyolite
45	rhyolite-crater
46	rough-rhyolite
47	regolith
48	yellow-stone
49	carbon-stone
50	ferric-stone
51	ferric-craters
52	beryllic-stone
53	crystalline-stone
54	crystal-floor
55	yellow-stone-plates
56	red-stone
57	dense-red-stone
58	red-ice
59	arkycite-floor
60	arkyic-stone
61	rhyolite-vent
62	carbon-vent
63	arkyic-vent
64	yellow-stone-vent
65	red-stone-vent
66	crystalline-vent
67	stone-vent
68	basalt-vent
69	redmat
70	bluemat
71	grass
72	salt
73	snow
74	ice
75	ice-snow
76	shale
77	moss
78	core-zone
79	spore-moss
80	stone-wall
81	spore-wall
82	dirt-wall
83	dacite-wall
84	ice-wall
85	snow-wall
86	dune-wall
87	regolith-wall
88	yellow-stone-wall
89	rhyolite-wall
90	carbon-wall
91	ferric-stone-wall
92	beryllic-stone-wall
93	arkyic-wall
94	crystalline-stone-wall
95	red-ice-wall
96	red-stone-wall
97	red-diamond-wall
98	sand-wall
99	salt-wall
100	shrubs
101	shale-wall
102	spore-pine
103	snow-pine
104	pine
105	white-tree-dead
106	white-tree
107	spore-cluster
108	redweed
109	pur-bush
110	yellowcoral
111	boulder
112	snow-boulder
113	shale-boulder
114	sand-boulder
115	dacite-boulder
116	basalt-boulder
117	carbon-boulder
118	ferric-boulder
119	beryllic-boulder
120	yellow-stone-boulder
121	arkyic-boulder
122	crystal-cluster
123	vibrant-crystal-cluster
124	crystal-blocks
125	crystal-orbs
126	crystalline-boulder
127	red-ice-boulder
128	rhyolite-boulder
129	red-stone-boulder
130	metal-floor
131	metal-floor-damaged
132	metal-floor-2
133	metal-floor-3
134	metal-floor-4
135	metal-floor-5
136	dark-panel-1
137	dark-panel-2
138	dark-panel-3
139	dark-panel-4
140	dark-panel-5
141	dark-panel-6
142	dark-metal
143	metal-tiles-1
144	metal-tiles-2
145	metal-tiles-3
146	metal-tiles-4
147	metal-tiles-5
148	metal-tiles-6
149	metal-tiles-7
150	metal-tiles-8
151	metal-tiles-9
152	metal-tiles-10
153	metal-tiles-11
154	metal-tiles-12
155	metal-tiles-13
156	metal-wall-1
157	metal-wall-2
158	metal-wall-3
159	colored-floor
160	colored-wall
161	character-overlay
162	character-overlay-white
163	rune-overlay
164	rune-overlay-crux
165	pebbles
166	tendrils
167	ore-copper
168	ore-lead
169	ore-scrap
170	ore-coal
171	ore-titanium
172	ore-thorium
173	ore-beryllium
174	ore-tungsten
175	ore-crystal-thorium
176	ore-wall-thorium
177	ore-wall-beryllium
178	graphitic-wall
179	ore-wall-graphite
180	ore-wall-tungsten
181	graphite-press
182	multi-press
183	silicon-smelter
184	silicon-crucible
185	kiln
186	plastanium-compressor
187	phase-weaver
188	surge-smelter
189	cryofluid-mixer
190	pyratite-mixer
191	blast-mixer
192	melter
193	separator
194	disassembler
195	spore-press
196	pulverizer
197	coal-centrifuge
198	incinerator
199	silicon-arc-furnace
200	electrolyzer
201	atmospheric-concentrator
202	oxidation-chamber
203	electric-heater
204	slag-heater
205	phase-heater
206	heat-redirector
207	small-heat-redirector
208	heat-router
209	slag-incinerator
210	carbide-crucible
211	slag-centrifuge
212	surge-crucible
213	cyanogen-synthesizer
214	phase-synthesizer
215	heat-reactor
216	copper-wall
217	copper-wall-large
218	titanium-wall
219	titanium-wall-large
220	plastanium-wall
221	plastanium-wall-large
222	thorium-wall
223	thorium-wall-large
224	phase-wall
225	phase-wall-large
226	surge-wall
227	surge-wall-large
228	door
229	door-large
230	scrap-wall
231	scrap-wall-large
232	scrap-wall-huge
233	scrap-wall-gigantic
234	thruster
235	beryllium-wall
236	beryllium-wall-large
237	tungsten-wall
238	tungsten-wall-large
239	blast-door
240	reinforced-surge-wall
241	reinforced-surge-wall-large
242	carbide-wall
243	carbide-wall-large
244	shielded-wall
245	mender
246	mend-projector
247	overdrive-projector
248	overdrive-dome
249	force-projector
250	shock-mine
251	radar
252	build-tower
253	regen-projector
254	shockwave-tower
255	shield-projector
256	large-shield-projector
257	conveyor
258	titanium-conveyor
259	plastanium-conveyor
260	armored-conveyor
261	junction
262	bridge-conveyor
263	phase-conveyor
264	sorter
265	inverted-sorter
266	router
267	distributor
268	overflow-gate
269	underflow-gate
270	unloader
271	mass-driver
272	duct
273	armored-duct
274	duct-router
275	overflow-duct
276	underflow-duct
277	duct-bridge
278	duct-unloader
279	surge-conveyor
280	surge-router
281	unit-cargo-loader
282	unit-cargo-unload-point
283	mechanical-pump
284	rotary-pump
285	impulse-pump
286	conduit
287	pulse-conduit
288	plated-conduit
289	liquid-router
290	liquid-container
291	liquid-tank
292	liquid-junction
293	bridge-conduit
294	phase-conduit
295	reinforced-pump
296	reinforced-conduit
297	reinforced-liquid-junction
298	reinforced-bridge-conduit
299	reinforced-liquid-router
300	reinforced-liquid-container
301	reinforced-liquid-tank
302	power-node
303	power-node-large
304	surge-tower
305	diode
306	battery
307	battery-large
308	combustion-generator
309	thermal-generator
310	steam-generator
311	differential-generator
312	rtg-generator
313	solar-panel
314	solar-panel-large
315	thorium-reactor
316	impact-reactor
317	beam-node
318	beam-tower
319	beam-link
320	turbine-condenser
321	chemical-combustion-chamber
322	pyrolysis-generator
323	flux-reactor
324	neoplasia-reactor
325	mechanical-drill
326	pneumatic-drill
327	laser-drill
328	blast-drill
329	water-extractor
330	cultivator
331	oil-extractor
332	vent-condenser
333	cliff-crusher
334	large-cliff-crusher
335	plasma-bore
336	large-plasma-bore
337	impact-drill
338	eruption-drill
339	core-shard
340	core-foundation
341	core-nucleus
342	core-bastion
343	core-citadel
344	core-acropolis
345	container
346	vault
347	reinforced-container
348	reinforced-vault
