# Generated by tools/inspect/InspectBulletCollision.java with the pinned 159.7 JAR after BulletType.init.
# bullet_id	collides	collides_air	collides_ground	collides_tiles	collides_team	hit_size	scale_life	despawn_hit
0	true	true	true	true	false	4.0	false	false
1	true	true	true	true	false	4.0	false	false
2	true	false	true	true	false	4.0	false	false
3	true	true	false	false	false	4.0	false	false
4	false	true	true	false	false	4.0	false	false
5	false	true	true	true	false	4.0	false	false
6	true	true	true	true	false	4.0	false	false
7	true	true	true	true	false	7.0	false	false
8	true	false	true	true	false	4.0	true	true
9	true	true	true	true	false	4.0	false	false
10	true	true	true	true	false	4.0	false	true
11	true	true	true	true	false	4.0	false	false
12	true	true	true	true	false	4.0	false	true
13	true	true	true	true	false	4.0	false	true
14	true	true	true	true	true	4.0	false	false
15	true	true	true	true	false	4.0	false	false
16	true	true	true	true	true	4.0	false	false
17	false	true	true	true	true	4.0	false	false
18	false	true	true	true	true	4.0	false	false
19	true	true	true	true	false	4.0	false	false
20	false	true	true	true	true	4.0	false	false
21	false	true	true	false	false	4.0	false	true
22	true	false	true	true	false	4.0	false	false
23	false	true	true	true	false	0.0	false	false
24	false	true	true	true	false	0.0	false	false
25	false	true	true	true	false	0.0	false	false
26	false	false	true	true	false	4.0	true	true
27	false	true	true	true	false	4.0	false	false
28	true	false	true	true	false	4.0	true	true
29	false	false	true	false	false	4.0	true	true
30	true	true	true	true	false	4.0	false	false
31	false	false	true	false	false	4.0	false	true
32	true	true	true	true	false	4.0	false	true
33	true	true	true	true	false	4.0	false	true
34	true	true	true	true	false	4.0	false	false
35	true	true	true	true	false	4.0	false	true
36	false	true	true	true	false	4.0	false	false
37	true	true	true	true	true	4.0	false	false
38	true	true	true	true	true	4.0	false	false
39	true	true	true	true	true	4.0	false	false
40	false	false	true	true	false	4.0	false	true
41	true	true	true	true	false	4.0	false	false
42	true	true	true	true	false	4.0	false	true
43	true	true	false	true	false	4.0	false	true
44	false	false	true	false	false	4.0	true	true
45	false	false	true	false	false	4.0	true	true
46	true	true	true	true	false	4.0	false	true
47	true	true	true	true	false	4.0	false	true
48	true	true	true	true	false	4.0	false	false
49	false	true	true	true	false	4.0	false	false
50	true	true	true	true	false	4.0	false	false
51	true	true	true	true	true	4.0	false	false
52	true	false	true	true	false	22.0	false	true
53	true	false	true	true	true	7.0	false	false
54	true	true	true	true	false	4.0	false	false
55	true	true	true	true	false	4.0	false	false
56	true	true	true	true	false	4.0	false	true
57	true	true	true	true	true	4.0	false	true
58	true	true	true	true	false	4.0	false	false
59	true	true	true	true	false	4.0	false	false
60	true	true	true	true	false	4.0	true	true
61	false	true	true	true	true	4.0	false	false
62	false	true	true	true	true	4.0	false	false
63	false	true	true	true	true	4.0	false	false
64	false	true	true	true	true	4.0	false	false
65	true	true	true	true	false	4.0	false	false
66	true	true	true	true	false	4.0	false	false
67	true	true	true	true	false	4.0	false	false
68	true	true	true	true	false	4.0	false	false
69	false	true	true	true	false	4.0	false	false
70	true	true	true	true	false	6.0	false	true
71	true	true	true	true	false	4.0	false	false
72	true	true	true	true	false	6.0	false	true
73	true	true	true	true	false	4.0	false	true
74	true	true	true	true	false	4.0	false	false
75	true	true	true	true	false	4.0	false	false
76	true	true	true	true	false	6.0	false	false
77	true	true	true	true	false	5.0	false	true
78	true	true	true	true	false	5.0	false	true
79	true	true	true	true	false	5.0	false	true
80	true	true	true	true	false	5.0	false	true
81	true	true	true	true	false	5.0	false	true
82	true	true	true	true	false	5.0	false	true
83	true	true	true	true	false	5.0	false	true
84	true	true	true	true	false	5.0	false	true
85	true	true	true	true	false	5.0	false	true
86	true	true	true	true	false	5.0	false	true
87	true	true	true	true	false	5.0	false	true
88	true	true	true	true	false	5.0	false	true
89	false	false	true	true	false	4.0	true	true
90	true	true	true	true	false	4.0	false	true
91	true	true	true	true	false	4.0	false	false
92	true	true	true	true	false	4.0	false	false
93	false	true	true	true	false	4.0	false	true
94	true	true	true	true	false	4.0	false	true
95	true	false	true	true	false	4.0	true	true
96	true	false	true	true	false	4.0	false	true
97	true	true	true	true	false	4.0	false	false
98	true	true	true	true	false	4.0	false	true
99	true	true	true	true	false	4.0	false	false
100	true	true	true	true	false	4.0	false	true
101	true	false	true	true	false	4.0	false	false
102	true	true	true	true	false	4.0	false	false
103	true	false	true	true	false	7.0	false	true
104	true	false	true	true	false	4.0	false	false
105	false	false	true	true	false	4.0	false	true
106	true	false	true	true	false	4.0	false	false
107	false	false	true	true	false	4.0	false	true
108	true	true	true	true	false	4.0	false	false
109	true	true	true	true	false	4.0	false	false
110	true	true	true	true	false	4.0	false	false
111	true	true	true	true	false	4.0	false	false
112	true	true	true	false	false	4.0	false	false
113	true	true	true	true	false	4.0	false	false
114	true	true	true	true	false	4.0	false	false
115	true	true	true	true	false	4.0	false	false
116	true	true	false	true	false	4.0	false	true
117	true	true	false	true	false	4.0	false	true
118	true	true	false	true	false	4.0	false	true
119	true	true	false	true	false	4.0	false	false
120	true	false	true	true	false	7.0	false	false
121	true	false	true	true	false	7.0	false	false
122	false	false	true	false	false	4.0	true	true
123	false	false	true	false	false	4.0	true	true
124	false	false	true	false	false	4.0	true	true
125	true	true	true	true	false	4.0	false	false
126	true	true	true	true	false	4.0	false	false
127	true	true	true	true	false	4.0	false	false
128	true	true	true	true	false	4.0	false	false
129	false	false	true	true	false	4.0	false	false
130	true	false	true	true	false	4.0	false	false
131	true	false	true	true	false	4.0	false	false
132	true	true	true	true	false	4.0	false	true
133	true	true	true	true	false	4.0	false	true
134	true	true	true	true	false	4.0	false	true
135	true	true	true	true	false	4.0	false	false
136	true	true	true	true	false	4.0	false	false
137	true	true	true	true	false	4.0	false	true
138	true	true	true	true	false	4.0	false	false
139	true	true	true	true	false	4.0	false	false
140	true	true	true	true	false	4.0	false	false
141	true	true	true	true	false	4.0	false	false
142	true	true	true	true	false	4.0	false	false
143	true	true	true	true	false	4.0	false	false
144	false	true	true	true	false	4.0	false	false
145	false	true	true	true	false	4.0	false	false
146	false	false	true	false	false	4.0	true	true
147	false	false	true	false	false	4.0	true	true
148	false	false	true	false	false	4.0	true	true
149	false	false	true	false	false	4.0	true	true
150	false	false	true	false	false	4.0	true	true
151	true	false	true	true	false	4.0	false	false
152	true	true	true	true	false	4.0	false	true
153	true	true	true	true	false	4.0	false	false
154	true	true	true	true	false	4.0	false	true
155	true	true	true	true	false	4.0	false	true
156	true	true	true	true	false	4.0	false	false
157	true	true	true	true	false	4.0	false	true
158	false	true	true	true	false	4.0	false	false
159	true	true	true	true	false	4.8	false	false
160	true	true	true	true	false	5.0	false	false
161	true	true	true	true	false	5.0	false	true
162	false	true	true	true	false	4.0	false	false
163	true	true	true	true	false	7.0	false	false
164	true	true	true	true	false	7.0	false	false
165	true	true	true	true	false	7.0	false	true
166	true	true	true	true	false	7.0	false	false
167	true	true	true	true	false	7.0	false	false
168	true	true	true	true	false	7.0	false	false
169	true	true	true	true	false	7.0	false	false
170	false	true	true	true	false	4.0	false	false
171	false	true	true	true	false	4.0	false	false
172	false	false	true	false	false	4.0	true	true
173	false	false	true	false	false	4.0	true	true
174	false	false	true	false	false	4.0	true	true
175	false	false	true	false	false	4.0	true	true
176	true	false	false	false	false	4.0	false	false
177	false	false	true	false	false	4.0	false	true
178	true	true	false	false	false	4.0	false	false
179	true	true	false	false	false	4.0	false	false
180	true	true	false	false	false	4.0	false	false
181	true	true	false	false	false	4.0	false	true
182	false	true	false	false	false	4.0	false	true
183	true	true	true	true	false	4.0	false	true
184	true	true	true	true	false	5.0	false	false
185	false	true	true	true	false	4.0	false	false
186	true	true	true	true	false	4.0	false	false
187	false	false	true	true	false	4.0	false	true
188	false	false	true	false	false	4.0	true	true
189	true	true	true	true	false	4.0	false	false
190	false	false	true	true	false	4.0	false	true
191	false	false	true	false	false	4.0	true	true
192	true	true	true	true	false	4.0	false	false
193	false	false	true	true	false	4.0	false	true
194	true	true	true	true	false	4.0	false	false
195	false	false	true	true	false	4.0	false	true
196	true	true	true	true	false	8.0	false	false
197	true	false	true	true	false	4.0	false	false
198	true	true	true	true	false	4.0	false	false
199	true	true	true	true	false	7.0	false	true
200	true	true	true	true	false	4.0	false	false
201	false	true	true	true	false	4.0	false	false
